segment,component,parameter,value,unit,low,high,basis,source_id,tag,notes
synthesis,haber_bosch,specific_energy_consumption,0.60,kWh/kg,0.5,0.7,"node B2; per kg NH3 produced - ASU (N2), syngas compression, synthesis loop, refrigeration; electrical",,ESTIMATE,"placeholder pending the internal Gentari NH3 dataset (decision D4). Excludes the H2 feed itself (node A) and any steam export credit."
synthesis,haber_bosch,hydrogen_loss,2,%,,,"node B2; purge gas / inerts, net of purge recovery",,ESTIMATE,"placeholder pending the internal NH3 dataset (D4)"
synthesis,haber_bosch,heat_export_credit,,kWh/kg,,,"node B2; exothermic synthesis heat recoverable as steam",,needs-source,"NOT modelled - carried as an explicit gap. Including it would lower the NH3 chain's net penalty."
loading_terminal,nh3_export_terminal,boil_off_rate_at_rest,0.04,%/day,,,"node C2; refrigerated NH3 at ~ -33 C, atmospheric",,ESTIMATE,"placeholder pending the internal NH3 dataset (D4)"
loading_terminal,nh3_export_terminal,storage_days,5,day,,,"node C2; average inventory hold time",,ASSUMPTION,"placeholder; matched to the LH2 side so the two chains are compared on equal hold time"
loading_terminal,nh3_export_terminal,bog_reliquefaction_sec,0.25,kWh/kg,,,"node C2/E2; per kg NH3 BOG re-liquefied (refrigeration compressor)",,ESTIMATE,"placeholder pending the internal NH3 dataset (D4)"
shipping,nh3_carrier,service_speed,30.0,km/h,,,"node D2; ~16 knots, mid-size gas carrier",,ESTIMATE,"placeholder; set close to the LH2 carrier speed so voyage time is not the differentiator by construction"
shipping,nh3_carrier,voyage_boil_off_rate,0.04,%/day,,,"node D2; laden leg, ordinary cargo boil-off only",,ESTIMATE,"placeholder pending the internal NH3 dataset (D4)"
shipping,nh3_carrier,bog_disposition,re-liquefied on board,,,,"node D2",,ESTIMATE,"placeholder disposition - NH3 carriers may instead burn BOG as fuel; the switch moves the penalty from energy to mass loss"
shipping,nh3_carrier,cargo_capacity,40000,m3,,,"node D2",,ESTIMATE,"user-specified (2026-09-02) mid-size ammonia/LPG-type carrier; not KHI-specific"
shipping,nh3_carrier,cargo_fill_fraction,98,%,,,"node D2",,ASSUMPTION,"placeholder, matched to the LH2 side"
shipping,nh3_carrier,port_days_per_call,1.25,day,,,"node D2",,ESTIMATE,"placeholder, matched to the LH2 side pending an NH3-specific figure"
shipping,nh3_carrier,cargo_density,682,kg/m3,,,"node D2; refrigerated liquid NH3 at approx -33 C, 1 atm",,ESTIMATE,"standard published value; no citation logged in references.csv"
shipping,nh3_carrier,bunker_fuel_rate,1.3,%/day,,,"node D2; ammonia burned as the carrier's own propulsion fuel, additional to ordinary cargo boil-off; linear in voyage days, not compounded",,ESTIMATE,"user direction (2026-09-02): cracker is now natural-gas-fired, so the ammonia-vs-delivered-H2 supply ratio (target ~6.5:1) exceeds the pure mass-balance ratio (~5.63:1, common/stoichiometry/nh3_per_h2_mass_ratio); modelled here as ammonia-fuelled marine propulsion, calibrated so defaults reproduce approx 6.5:1 at the default voyage length. Real ammonia-fuelled engines are not yet commercial at scale -- placeholder mechanism, not a disclosed figure."
regas,nh3_import_terminal,boil_off_rate_at_rest,0.04,%/day,,,"node E2; refrigerated NH3 storage",,ESTIMATE,"placeholder pending the internal NH3 dataset (D4)"
regas,nh3_import_terminal,storage_days,5,day,,,"node E2; average inventory hold time",,ASSUMPTION,"placeholder; matched to the LH2 side"
cracking,nh3_cracker,process_loss,3,%,,,"node F2; PSA/purification tail-gas slip only",,ESTIMATE,"placeholder pending the internal NH3 dataset (D4). Replaces the earlier hydrogen_self_consumption mechanic (2026-09-01) now that the cracker is natural-gas-fired (user direction 2026-09-02): reaction heat is purchased NG, not combusted product H2/NH3, so this figure is a much smaller residual than the old 20% -- the old row's 12.7%-of-LHV floor no longer applies to it directly (that floor bounds the NG thermal duty below, not this mass loss)."
cracking,nh3_cracker,ng_fired_thermal_efficiency,85,%,,,"node F2; natural-gas-fired heater efficiency converting NG HHV/LHV energy into delivered reaction heat",,ASSUMPTION,"typical industrial fired-heater efficiency; not a disclosed figure. New row (2026-09-02) for the NG-fired cracker."
cracking,nh3_cracker,electrical_energy,0.5,kWh/kg,,,"node F2; per kg H2-equivalent entering - PSA, compression, balance of plant",,ESTIMATE,"placeholder pending the internal NH3 dataset (D4)"
cracking,nh3_cracker,reaction_heat_duty,4.22,kWh/kg,,,"node F2; 15.2 MJ per kg H2 produced, from 45.9 kJ/mol-NH3 at 298 K",,ASSUMPTION,"derived from common/nh3/cracking_reaction_enthalpy. Since 2026-09-02 this IS added to the energy total (scaled by ng_fired_thermal_efficiency): it is the minimum heat the natural-gas-fired heater must deliver, charged as purchased NG energy, not free/self-consumed."
