id,citation,year,tier,url_or_file,notes
kbr-cracker-johorhub,"KBR, Inc. H2ACT(R) Technical Information Package, general (December 2025).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/kbr/kbr-johor-hub.md","Down-fired primary-reformer-derived furnace cracker technology. General package, precedes the Gentari/Johor-specific proposal series (I.A-I.I below). Replicated from Gentari-ammoniacracker repo."
kbr-gentari-pdb-001,"KBR, Inc. GENTARI Process Design Basis, Rev0 (Gentari-PR-GEN-PDB-001, 22 Dec 2025).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/kbr/I.A_GENTARIProcess_Design_Basis_Rev0.md","Johor 12/24/68/80 kTPA H2 case, 99.97 mol% H2 product, three firing modes (100% NG / 50-50 / 100% cracked NH3). Issued for Proposal. PDF->Markdown via markitdown; cross-check exact figures against source PDF. Replicated from Gentari-ammoniacracker repo."
kbr-gentari-bfd1a-001,"KBR, Inc. GENTARI ISBL Block Flow Diagram, Scenario 1: 12kTPA H2, 100% NG, Rev0 (Gentari-PR-GEN-BFD1A-001, 23 Dec 2025).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/kbr/I.B_GENTARIBFD_12kTPA_100NG_Rev0.md","Markitdown conversion loses diagram graphics -- renders as scattered stream labels/numbers with no visual flow topology; read alongside source PDF. Replicated from Gentari-ammoniacracker repo."
kbr-gentari-hmb-001,"KBR, Inc. GENTARI Preliminary Heat & Material Balance, 12kTPA 100% NG, Rev0 (Gentari-PR-GEN-HMB-001, 23 Dec 2025).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/kbr/I.C_GENTARIHMB_12kTPA_100NG_Rev0.md","Table column-alignment ambiguity from source PDF's merged cells -- cross-check exact figures against original PDF before citing. Replicated from Gentari-ammoniacracker repo."
kbr-gentari-psd-001,"KBR, Inc. GENTARI Ammonia Cracking Unit Process Description, ISBL, General, Rev0 (Gentari-PR-GEN-PSD-001, 22 Dec 2025).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/kbr/I.D_GENTARIProcess_Description_GENERAL_Rev0.md","Replicated from Gentari-ammoniacracker repo."
kbr-gentari-fp-001,"KBR, Inc. GENTARI Preliminary ISBL Feed & Product Summary, all four capacities, Rev0 (Gentari-PR-GEN-F&F-001, 22 Dec 2025).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/kbr/I.E_GENTARIFeed__Product_ALL_Rev0.md","Table column-alignment ambiguity from source PDF's merged cells -- cross-check exact figures against original PDF. Replicated from Gentari-ammoniacracker repo."
kbr-gentari-bls-001,"KBR, Inc. GENTARI Preliminary Utility Summary, ISBL, Rev0 (Gentari-PR-GEN-BLS-001, 23 Dec 2025).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/kbr/I.F_GENTARIUtilities_12KTPA_Rev0.md","12 kTPA case. Replicated from Gentari-ammoniacracker repo."
kbr-gentari-cc-001,"KBR, Inc. GENTARI Preliminary Catalyst & Chemicals Summary, Rev0 (Gentari-PR-GEN-C&C-001, 23 Dec 2025).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/kbr/I.G_GENTARICatalyst__Chemicals_12kTPA_Rev0.md","12 kTPA case. Replicated from Gentari-ammoniacracker repo."
kbr-gentari-lst-0002,"KBR, Inc. GENTARI Preliminary Equipment List, OSBL, Rev0 (Gentari-PR-GEN-LST-0002, 23 Dec 2025).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/kbr/I.H_GENTARIEquipment_List_OSBL_Rev0.md","Issued for Info (not Issued for Proposal like the companion series). Replicated from Gentari-ammoniacracker repo."
kbr-gentari-pp-001,"KBR, Inc. GENTARI Preliminary Plot Plan, 12kTPA, Rev0.",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/kbr/I.I_GENTARIPreliminary_PP_12kTPA_Rev0.md","Replicated from Gentari-ammoniacracker repo."
technip-nippon-sanso-tolling,"Technip Energies (Hynext by T.EN(TM)) cracker technology, commercially packaged as a Nippon Sanso / LBC Tank Terminals tolling offer, Netherlands (Hynetwork H2-Backbone).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/Licensor/technip/technip-nippon-sanso-lbc-tolling.md","Licensor (Technip) and tolling operator (Nippon Sanso) are different entities -- see Gentari-ammoniacracker CLAUDE.md §2.1. Replicated from Gentari-ammoniacracker repo."
vopak-cracker-tolling,"Vopak (storage) + Linde (cracker), Antwerp -- Cracker Tolling Fee, Letter of Intent stage (Aug 2025).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/tolling/vopak/Vopak_Cracker_Tolling_Fee.md","Tolling/offtake commercial package: take-or-pay tariff structure. Indicative, non-binding (Class III-V ±40%) -- do not present as firm. Replicated from Gentari-ammoniacracker repo."
vtti-cracker-tolling,"VTTI, Rotterdam/Antwerp -- Commercial Information Package, Cracker Tolling Fee (Project Amplifhy, Heads of Agreement stage).",2025,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/tolling/vtti/VTTI_Cracker_Tolling_Fee.md","Tolling/offtake commercial package. Indicative, non-binding (Class III-V +/-40%) -- do not present as firm. Replicated from Gentari-ammoniacracker repo."
gentari-tcoe-ammonia-cracker-db,"Gentari Hydrogen Technical Center of Excellence (TCOE). Ammonia Cracking Technology Database (WIP) -- chemistry, licensor comparison matrix, tolling model comparison, RFNBO/regulatory section, key learnings.",2026,proprietary,"sources/raw/Project/Gentari Ammonia Cracker Workstream/tcoedatabase/WIP_Ammonia_Cracker_Database.md","Synthesis document across Casale/Duiker/KBR/Technip licensors and Vopak/VTTI tolling offers, incl. EU RFNBO (~28.2 gCO2e/MJ derived ceiling) and Korea KEEI (<4.0 kgCO2/kgH2) clean-hydrogen threshold screening. WIP -- carries the source's own internal revision history (Dec-2025 refresh, reconciliation notes in its §6.1). .docx original also held alongside for reference. Replicated from Gentari-ammoniacracker repo."
